City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
21,Kavieng,PG,82.02,clear sky,-2.57,150.8,Nusa Island Retreat
23,Hithadhoo,MV,81.57,overcast clouds,-0.6,73.08,Scoop Guest House
37,Avarua,CK,80.65,light rain,-21.21,-159.78,Paradise Inn
48,Samarai,PG,82.63,overcast clouds,-10.62,150.67,Nuli Sapi
49,Papagaios,BR,82.45,few clouds,-19.45,-44.75,Hotel Mac Palace
52,Acapulco,MX,85.82,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
59,Pirapozinho,BR,94.48,clear sky,-22.28,-51.5,Cris Martis
68,Castro,BR,83.03,broken clouds,-24.79,-50.01,CHACARA BAILLY
72,San Patricio,US,80.87,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
73,Faanui,PF,81.99,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,Puerto Ayora,EC,80.56,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
79,Maragogi,BR,82.44,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
109,Trincomalee,LK,80.73,overcast clouds,8.57,81.23,Welcombe Hotel
120,Boa Vista,BR,91.38,broken clouds,2.82,-60.67,Aipana Plaza Hotel
124,Xuddur,SO,83.41,overcast clouds,4.12,43.89,Banjanay Hotel
130,Butaritari,KI,82.4,overcast clouds,3.07,172.79,Isles Sunset Lodge
135,Sao Miguel Do Guama,BR,87.91,overcast clouds,-1.63,-47.48,Hotel Rio Guamá
136,Oriximina,BR,89.02,broken clouds,-1.77,-55.87,Pousada Tia Amélia
149,Arraial Do Cabo,BR,82.36,clear sky,-22.97,-42.03,Pousada Porto Praia
163,Olinda,BR,85.73,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
177,Gizo,SB,81.79,light rain,-8.1,156.84,Imagination Island
192,Lorengau,PG,80.64,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
203,Rio Grande,BR,82.51,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
209,Palotina,BR,91.24,light rain,-24.28,-53.84,Hotel Granfino
215,Tamandare,BR,82.92,clear sky,-8.76,-35.1,Pousada 100 Passos
234,Waingapu,ID,80.26,overcast clouds,-9.66,120.26,Pondok Wisata Elim
237,Cabo San Lucas,MX,82.51,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
239,Coxim,BR,90.16,overcast clouds,-18.51,-54.76,Hotel Avenida
249,Saldanha,ZA,82.45,clear sky,-33.01,17.94,Blue Bay Lodge
250,Tautira,PF,84.22,scattered clouds,-17.73,-149.15,Pension Oaoa
251,Sao Geraldo Do Araguaia,BR,84.58,moderate rain,-6.4,-48.55,Hotel Por do Sol
255,Valparaiso,CL,84.43,clear sky,-33.04,-71.63,Hotel Ultramar
256,Massaguet,TD,80.64,clear sky,12.48,15.44,Alwatane
263,Eldorado,BR,88.34,overcast clouds,-23.79,-54.28,Villa Verde Hotel
269,Am Timan,TD,80.06,clear sky,11.03,20.28,Palais du chef Canton Salamt
270,San Martin,AR,84.74,clear sky,-33.08,-68.47,Club El Pelícano
284,Yarada,IN,80.92,mist,17.65,83.27,Vishranti
288,Edelira,PY,85.66,moderate rain,-26.75,-55.27,Hospedaje Miguelito
295,Upington,ZA,86.38,few clouds,-28.45,21.26,River Place Manor
296,Wukari,NG,83.64,clear sky,7.85,9.78,Elimtop
313,Sao Joao Da Barra,BR,80.69,clear sky,-21.64,-41.05,Pousada Porto De Canoas
323,Atar,MR,87.03,overcast clouds,20.52,-13.05,Oumou Elghoura
325,Road Town,VG,82.44,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
326,Ahuimanu,US,80.78,broken clouds,21.44,-157.84,Paradise Bay Resort
335,Kavaratti,IN,81.1,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
336,Inirida,CO,82.85,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
346,Nueva Guinea,NI,80.46,broken clouds,11.69,-84.46,Posadita La Reyna
357,Minatitlan,MX,80.4,scattered clouds,17.98,-94.52,Grand Regency Express
367,Ilorin,NG,86.27,few clouds,8.5,4.55,Ayala Suite Annex
376,Hermosillo,MX,80.69,overcast clouds,29.07,-110.97,ibis Hermosillo
380,Jizan,SA,83.34,clear sky,17.33,42.67,شهدان. ابوالحجر
385,Santa Isabel Do Rio Negro,BR,85.28,overcast clouds,-0.41,-65.02,Hotel GSA
392,Catia La Mar,VE,89.8,scattered clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
396,Chake Chake,TZ,80.17,broken clouds,-5.25,39.77,Hotel Archipelago
408,Vila Velha,BR,82.35,clear sky,-20.33,-40.29,Quality Suites Vila Velha
422,Buri,BR,88.77,overcast clouds,-23.8,-48.59,Hotel Aro
423,Kununurra,AU,80.58,few clouds,-15.77,128.73,Hotel Kununurra
433,Malakal,SS,81.28,broken clouds,9.53,31.66,Nile Palace Hotel
446,Sinnamary,GF,82.78,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
449,Cayenne,GF,86.04,broken clouds,4.93,-52.33,Hôtel Le Dronmi
455,Brownsville,US,80.71,broken clouds,25.9,-97.5,University Inn & Suites
457,Sulangan,PH,82.9,broken clouds,11.14,123.72,Maia's Beach Resort
461,Aguachica,CO,84.33,broken clouds,8.31,-73.62,HOTEL D' LEON INN
465,Bell Ville,AR,85.66,clear sky,-32.63,-62.69,Hotel Central
468,Altamira,BR,89.69,scattered clouds,-3.2,-52.21,Requinte Hotel
473,Bonthe,SL,81.34,broken clouds,7.53,-12.51,Bonthe Holiday Village
482,Vila Do Maio,CV,81.39,overcast clouds,15.13,-23.22,Hotel Marilu
484,Harper,LR,80.17,light rain,4.38,-7.72,Screensaver
486,Mahajanga,MG,80.62,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
487,Nortelandia,BR,82.58,overcast clouds,-14.45,-56.8,Hotel Karysmã
489,Calabozo,VE,89.69,overcast clouds,8.92,-67.43,Hotel Giardini
492,Marovoay,MG,80.74,moderate rain,-16.1,46.63,Hôtel les Oliviers Marovoay
496,Trairi,BR,85.46,broken clouds,-3.28,-39.27,janelas do mar
501,Saint-Georges,GD,85.68,broken clouds,12.06,-61.75,Radisson Grenada Beach Resort
510,Presidente Medici,BR,83.61,light rain,-11.18,-61.9,Oliveira Palace Hotel
511,Sao Lourenco Do Sul,BR,82.45,light rain,-31.37,-51.98,Hotel Pousada Verde Água
513,Itarema,BR,85.44,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
515,Tiangua,BR,89.26,overcast clouds,-3.73,-40.99,Hotel São Francisco
517,Cockburn Town,TC,80.56,scattered clouds,21.46,-71.14,Osprey Beach Hotel
518,Muisne,EC,82.51,overcast clouds,0.6,-80.03,Quinta Samay
526,Puerto Narino,CO,85.95,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
528,Itaituba,BR,91.56,scattered clouds,-4.28,-55.98,Hotel Campos
539,Puerto Cabezas,NI,85.96,broken clouds,14.04,-83.39,Tour Operadora ASLA
542,Carutapera,BR,85.73,overcast clouds,-1.2,-46.02,Lidera
544,Barreirinhas,BR,86.76,overcast clouds,-2.75,-42.83,Gran Lençóis Flat Residence
551,Gboko,NG,88.03,scattered clouds,7.32,9.0,Mavillah Apartment and Suites
556,Cacu,BR,90.97,overcast clouds,-18.56,-51.13,Império Hotel
557,Bathsheba,BB,83.01,few clouds,13.22,-59.52,Atlantis Hotel
567,Maningrida,AU,80.37,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
569,Bucerias,MX,87.33,few clouds,20.75,-105.33,Royal Decameron Complex - Puerto Vallarta
572,Senador Jose Porfirio,BR,84.24,overcast clouds,-2.59,-51.95,MORADA DO SOL pousada
573,Itarantim,BR,84.42,few clouds,-15.66,-40.07,Hilton Carlos Ribeiro
575,Puerto Colombia,CO,86.09,broken clouds,10.99,-74.95,Hotel El Emigrante
579,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.17,Aviador Hotel Boutique
588,San Rafael Del Sur,NI,90.57,few clouds,11.85,-86.44,Hospedaje El Chino
589,Panaba,MX,86.67,clear sky,21.28,-88.27,Hotel Amor
595,Lazaro Cardenas,MX,84.38,clear sky,17.96,-102.2,quinta antigua
599,Nouakchott,MR,85.93,overcast clouds,18.09,-15.98,HOTEL IMAN
606,Vaitape,PF,82.0,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
621,Bequimao,BR,88.12,overcast clouds,-2.45,-44.78,Hotel e Restaurante Brisamar
622,Anori,BR,92.89,broken clouds,-3.77,-61.64,Novo Hotel 5 Irmãos
623,Iralaya,HN,80.69,overcast clouds,15.0,-83.23,Iglesia morava renovada
624,Illapel,CL,84.36,clear sky,-31.63,-71.17,Hotel Londres
632,Morant Bay,JM,82.02,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
634,Cabedelo,BR,88.47,few clouds,-6.98,-34.83,Hotel Pigalle
661,Mogadishu,SO,81.18,overcast clouds,2.04,45.34,Hotel Juba
673,Ixtapa,MX,90.43,few clouds,20.7,-105.2,Hotel Plaza Providencia
676,Santa Cruz Cabralia,BR,80.83,few clouds,-16.28,-39.02,Puerto Princesa Inn
677,May Pen,JM,81.61,broken clouds,17.96,-77.25,Mus Com Bac
680,Hobyo,SO,81.66,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
